,summarization
49,"stayed here twice for one night in different rooms during a tour with Kuoni. overall the hotel is quite acceptable for short stay, and it's only approx 20 minutes from the airport. the rooms were fairly well appointed, the AC worked well, though the beds were very firm (we later found out that this is normal in Indian hotels)."
50,the gym is ok but opens late at 8am only. the hotel was close to the airport and price point is good. however the level of services is not up to mark. there is no in room internet access.
51,"the surcharge on long distance calls as charged by them could not be justified on any account. disappointing, to say the least. i was disappointed with what I got. the food was tasteless, the refrigerator in the room not working, room service willing, but incapable due to lack of experience."
52,"this is one of the worst hotels we stayed at during our time in India. the check-in and restaurant staff were rude, the restaurant was very poor and the carpets were stained - the price was expensive compared to other hotels. value for money was also poor since it was not even cheap. for a Gov. run hotel, it needs to get its act together."
53,"the hotel is owned by GOI, and so they get preferential rates. it was of the caliber of a nice Marriott -- clean, spacious (I'd stayed at the Taj Palace in Delhi 10 days earlier -- that was about as glitzy luxurious as I've ever been) service was professional but not obsequious, not overly solicitous."
54,"the state of the hotel is miserable, the only thing that has been restored is the entrance lobby. there is a problem with staff and front desk staff in particular - they are not interested at all to give any service to their guests. their only interest seems to be to get tipped! next time I definitively will look for another place to stay in Delhi."
55,I stayed in Ashok for 2 nights during a conference. the hotel has been booked by the organisers of the conference so I had no choice.
56,the location is quite good almost midway between the city center and the airport. the food was average and we preferred eating outside in the private restaurants situated within the building.
57,"great expansive property in one of the best areas in delhi. the hotel is trying to modernize post privaitization and addition of Fbar and the host of events it hosts is propelling it forward.Price is normally around 8k INR which makes it the cheapest in Delhi.Always full of foreigners, Indian bureaucrats and Indian airlines crew, this is a nice value for money hotel."
58,"jet Airways provided us one night stay at this hotel. hotel was given by airline - but we didn't find hotel equal to 5 star hotel standards.Rooms were smelly,A/C was not effective,No Courtesy by staff,Breakfast was cold,Dinner wasn not good in taste."
59,"as an invited participant of an' international Stakeholders' consultation,I was accommodated in 'The Ashok',Chanakyapuri,New Delhi. aristocratic name in the diplomatic enclave of the capital city raised our expectations to perhaps somewhat unreasonable limits."
60,ashoka hotel is one of the grandest hotels built by the govrnment. the hotel has exceptional facilties - the gym and swimming pool is very good.
61,"this is a very lousy place with nothing great about it and comes with very high tariff rates. everything is very costly and rooms are not well maintained, the only exception is the its Restaurant Frontier which serves good food."
62,"i stayed at the Ashok this past week and was relieved that it was not as horrible as the other reviews indicate. my room did not seem dirty, and housekeeping came daily, so maybe that helped. roaches are hard to eradicate in that part of the world. it is a third world country, after all...i think the problem is that they are charging first world prices."
63,"the staff were poor, the views awful and generally just disappointing. our deluxe room had a comfortable bed and that was about it. the six restaurants in the hotel only two were open and one was just vile.the other was average but top prices.Our 3 1/2 night stay cost £700 - do not stay here."
64,"the reception's staff was informed that the rate is the same. the staff at business-center tried to be of help and while services are really expensive, none of the 11 mails I had send arrived arrived... trying..."
65,"we wanted to spend time in some good hotel so we could remember the stay as well as the places of stay. we had heard a lot about Hotel Ashok, how magnificient it is and how marvelous the view from the hotel top looks."
66,"the Ashok is a government owned hotel and does not have the massive private investment of the other in the diplomatic enclave. I was greeted by staff who were friendly and helpful throughout my stay, and the decor is good, the place is clean and clean. everywhere I go I am saluted or bowed to. the decorations are good enough, nothing special and Paprika Chicken is awful, don't try the chinese restaurant, we ordered 3 plates of food and some rice and each dish"
67,my husband and I went there for a medical convention. the next morning we went to the hotel room late...Surprise! room was smelled up with tobacco! thanks heaven we brought our rubber slippers! you can't walk inside without it!
68,"hotel staff were a little creepy. our hallway smelled very bad (especially in the mornings) luckily, most of the smell remained in our room and didn't come into the room - it was just better in comparison."
69,"the staff was the rudest I've encountered anywhere, the room was dirty and the location was far from anything, and it was of course overpriced. I highly recommend against staying here."
70,the windows didn't fit properly so you had the noise and the smell of the traffic. we would have booked into a B&amp;B in the bazaar if we had wished to experience such an establishment in my life.
71,the Ashoka Hotel is one of the most reasonably priced 5-star accommodation available as it is still government owned. the acommodation is good and the service even better. will definitely use this hotel again.
72,"i found that my hair dryer would not work, my television, not the desk light, and some electrical sockets. when my message light showed, I discovered that the message key didn't work - the first person I asked to help me on this never came back to me in the room on it. the food (which tasted quite good, or at least the indian style food) was very expensive, but we waited 15/20 mins for some water to be brought to us, the use of wireless access cost $25 a"
73,"the hotel staff gave me the key to someone else's room and then acted like I'd done something sneaky to get it. if you haven't already grown sick of hearing &quot;madam, take a glance, no need to buy, just look, and get your fill on your way to the elevators."
74,"Hayes &amp; Jarvis 'upgraded' us to the Ashok from the Oberoi Maidens for the first 3 nights of our India tour. we read the reviews and hoped it would not be as bad as reported, but unfortunately it was. our rooms were dirty, especially the bathrooms which looked as thougth they had not been cleaned properly for years."
75,"the Ashok at USD400 a night for an ordinary hotel room, ordinary tired property with ordinary to below average service. the room is clean, the bed comfortable and the water hot but for USD 400 you want 'a little bang for your buck'"
76,"overrpiced - London prices for poor quality rooms and miserable service. the lowest point was when waiter in the lobby lounge wiped the tea cups with his finger, and later washed our cups behind the desk with water from a mineral water bottle, from which he was also drinking."
77,the hotel issued the same room to another guest after midnight. the room is qutie recently renovated and the bathroom has no bathtub so the floor is wet after shower. there is not enough space to place toiletries too. I could hear TV noises from other rooms and staff can be loud when they go around their duties along the corridor.
78,"the hotel has a good potential and facilities are worth five stars. for me, it was the last time that I stayed there. if the management can cope with the housekeeping issues it will certainly get better ratings."
79,my husband and we stayed at the Ashok Hotel last weekend. the receptionist upgraded us to the executive floor at regular rates - the room was clean with a view of the pool and plasma tv.
80,we had a terrible shock at the Ashoka Hotel. when we arrived in our room the porter followed us in the room withouth an invite we were shocked! they refused to take credit card payments and would only accept cash!
81,"stayed at the hotel Ashok, 50B Chanakyapuri, as part of a group tour in Delhi. it is in new Delhi south of the government area, with no neighborhoodto walk to, and no nearby subway. we found the service to be fine, but it definitely does not deserve its apparent 5 stars or justify the price(apparently $200+)."
82,"the service is about as bad as it gets. hotel restaurants are pretty poor as well - I had to send back under cooked chicken, and the fish got its revenge during the night :-(Was probably a great hotel 30 years ago but now rooms are shabby and run down."
83,"two nights at the hotel and the first night was terrible. the telephone looked like it hadn't been wiped down in 25 years, seriously no joke. I demanded a room switch so the second night I stayed in the newly renovated ones (the older, crappier ones will be renovated on soon)"
84,"an average 3 star hotel trying to be 5 star. the public areas are ok but the rooms are old, tired and dated. but others were paying $200 a night - sheer robbery."
85,"this was the worst supposedly 5* hotel we have ever stayed in. the staff were extremely rude, food was awful and the rooms were old and grubby."
86,"the hotel is ok if you pay not more than 80 EUR a night for the room. staff were friendly, room service quick, and the adjunct restaurants seemed to be alright, but everything there is just 'alright'"
87,hotel rooms were stinky. it was worst hotel I ever stayed in. I paid 180 $ (INR 8000) for 1 Night.Hotel reception was ok but Rooms are dead.I needed a hotel near US embassy so I unluckily chose this one.
88,"this hotel classifies itself as a 5 star DELUXE hotel and it probably was, 50 years ago. the exterior looks charming because of the architecture, very colonial but Indian at the same time. however, the inside is quite strange."
89,"the hotel is ridiculously noisy and stinks of must and exterminator's chemicals. the service ranged from indifferent to rude, except for the coffee shop staff and a smattering of housekeepers, it was simply outrageous. it has some great restaurants, an excellent spa, and bags of potential. but the government has got to stop pretending this is an five-star hotel."
90,"the government run hotel could be a splendid example of traditional Indian grandeur, its website claims. despite the lack of rooms in the city, I was forced to stay at The Ashok for my last business trip."
91,"the rooms are old and run down and staff are generally not very helpful. the only good things are the staff in the restaurant and the breakfast buffet. if you are staying in india, spend a bit more money and stay somewhere else."
92,"the Ashok is a tired, grimy, grubby hotel. the rooms are dirty and dated, the service is surly and unatentive."
93,"I originally was excited to be able to stay here after so many years. between the lousy food, the crappy rooms and the creepy guys (security &amp; maids) in the hallways - this is one hotel to avoid."
94,"we found grey towels and bed linen at 5* hotel. all over the hotel were signs of government ownership - too much of staff, equipment out of order, etc. I expect for that price you can get much better deal."
95,I was staying at the Ashok hotel between the 11th and 16th of may 2006 for business reasons. During my stay I found the rooms to be unclean and unsafe! whilst moving the hairdryer I received an electric shock. I reported this to the duty manager and asked to speak with the general manager.
96,"the balcony was very dirty, paint peeling off wood work and no balcony furniture. the windows were cracked, putty coming away and dangerous to open.the staff were rude, dismissive and unhelpful."
97,"Location: In Between Airport, Sites and Central CityService: Above Average Price: High for location, but worth the ratingRoom: Within the rated rating. within the ratings, location: in between airport, sites and central cityservice: above average price: below average value: 0 compared to the average location location. a good location - close to location and close close proximity to airports, site & central City."
98,"hotel Ashok is a big hotel in the diplomatic district of new delhi. it has many restaurants and shops and the lobby is Ok, but the hotel was nothing near being five star. &quot;Cleanliness' had no definition in that hotel : my bed sheet was dirty and stained, the minibar refrigirator didn't work and it was empty. the toilette mirror was rusty."
99,we spent our afternoon trying to get cleaner rooms rather than sight seeing. we finally got some rooms that were a little cleaner than the ones we first saw and ended up staying at the Ashok for one night in february. the management was neither friendly nor helpful. try to avoid staying here at all cost.
100,"we stayed in a suite on floor 5, this was well sized and we had 2 single beds put in the spacious living room. the room was good (uk 4 star std) the bathroom was not as good but adequate and the hotel overall is quite dated but in Delhi is probably quite modern."
101,stay at hotels such as Oberoi which are in a similar price range but deliver first-class amenities and services on all fronts.
102,the scale is so big that if the hotel is not full it is almost depressing eating in a 300 person restaurant. the new bar Steel is the best option this place had it was freshly done with good staff that tried and an excellent relaxed scene. It was the only real haven there where I did not dislike my stay.
103,receptionists personel asked my wife how long we are going to stay like they were afraid that we dont have enough money to pay. the restaurants had a good service except the chinese restaurant which they warm the food for 2nd time before the serve it.
104,"the staff were very grumpy looking and mean and behaved more like they did not really want to be there. the only saving grace was the performance of the musicians in the restaurant, Needless to say. i left the next day for another hotel."
105,"external appearance is great. the employees dress like professionals. but service is really poor. I stayed in one room. there was heavy construction noise very nearby. also there were block in bathroom sewage. Reported the trouble. they changed me to another room, but again not so good bath room and toilet (for the amount they charge)."
106,"the location of this hotel sucks, the area is unlit at night...desserted...so for a first time traveller it made me uneasy...it was basically in the middle developing hotels...construction surrounds it...I think they are trying to build an community of resorts. the room was small but nice, modern. we ordered room service, it wasnt bad."
107,"we were told we would be staying in a four star hotel in Old Delhi. however it transpired that we instead were booked into this hotel which is 25k from Delhi in another town altogether, Faridabad, an unattractive industrial area. the room was the worst we stayed in throughout our two week stay in India."
108,"the atrium hotel was active almost around the clock at the time. the service ranged from being, in the best case, just very awkward, to being extremely intrusive. in general it was always bad."
109,"we stayed at the Atrium for three nights in April. all staff were helpful and friendly. the entrance is grand, the communal areas are well decorated, and the rooms are comfortable. power can be erratic at times, but this is to be expected in Delhi.you will need transport if staying at this hotel, as it is a little out of town."
110,the avalon comes out of nowhere. the hotel is ideally located in the area it is situated in and you are thinking the worst!
111,the approach road to Avalon appears unfriendly and dilapidated. inside the courtyard the rooms are trendy and have a mini kitchenette - the long french windows lead into nothing... err!
112,the Avalon was a pleasure to walk into - bright and spacious reception with modern decor. very clean and pleasant check in procedure. staff were friendly and attentive when required.Downside is the location.
113,if you travel outside of this hotel you may need to pay a tax to get entry back into the district (your taxi will not pay this fee) it is also far from the sights and city center so be prepared to spend around 700Rs for 40m or 4 hours. we probably wouldn't go back because of location and proximity to anything in Dehli worth seeing.
114,"I stayed in one of the Residence suits which was lovely. the staff were delightful, really friendly and helpful.the spa was very nice and all facilities were included in the room priceInternet was super fast but expensive at 500RS for 2 hoursBreakfast was also delicious. it took just 30 minutes to get from the hotel to the airport for my homebound flight so it was really convenient as an overnight stop."
115,the residence room is nice as it's similar to service apartment. the staffs are ok but not really communicate among themself first. i was plan to go to lotus temple and reception guy call to chek that it is open on that day but when we went their it was close.
116,Sutese were very nice. Very modern and well equipped. Terrible view from window of high canvas fence installed. the restaurant was unlicenced and there was no bar in the hotel.
117,"this is a very nice, clean well serviced hotel. the gym is great, on staff massages available, and the internet is really good, although expensive.a great find."
118,"we travelled along rutted filthy streets in the rain so our first impression of India was not so good. the driver pulled into a lane way and said here we are, we couldn't see an hotel!"
119,"breakfast was served early for us as we were on an early train to Agra. a clean, modern and reasonably quiet breakfast stayed well."
120,"my girlfriend and I stayed at this hotel for one night at the end of our recent holiday. the hotel is ultra modern and totally lacking in any of the character and charm we experienced during our stay at all the other wonderful heritage hotels and palaces throughout our trip. when you enter it, you feel like you are walking onto the set of some science fiction movie."
121,"new property had just opened this month. rooms are spacious and well suited for a medium term stay. Microwave, couch and small frig in each room."
122,"this hotel was away from the centre of Delhi so make time to travel in and out. rooms are spacious, modern. service was prompt and the food was good.Pool area is a bit run down and not very well attended."
123,"we stayed at the Claremont hotel because we were looking for a reasonably priced, clean comfortable hotel near the Delhi airport. distance-wise, the hotel is not that far, however it took us 40 minutes to drive to the airport at 7:15am on Monday morning, so we had planned for at least that amount of time. our room had 1 King and 1 twin bed that was brought in so it really only slept 3 comfortably."
124,Hall &amp; Poolside Lawn are perfectly maintain for private function. good stay and dining arrangement with family for couple of days.
125,hotel is made with class &amp; surrounded with greenary area. staff was Courteous and well groomed. I really recommend this Hotel.
126,specialy indian &amp; pasta's ; open pool with huge lawn for exercise or move around. over all nice hotel for stay with friend and famliy.
127,"cox and Kings travel agency used it as an 'airport hotel&quot; although it's 25 minute drive from the airport. the rooms are clean and decent, but the water was only lukewarm when I took a shower at 3:00am."
128,castle and King TourServices booked into the property on the tail end of an otherwise wonderful trip to Rajastan India. we encounted a non flushing toilet and had to use the lobby facilities all evening. noassistance to repair was available.
129,"pakage was great as the hotel was, we were on triple occupancy. we enjoyed the weekend with all recreational stuff &amp; evening with great wine..........food is equaly good but expensive enough......andamp clams to be 4star, its fair enough to  be...............and it's a 4 star hotel with 4 stars - it is the best hotel in the world!...we have stayed this holiday holiday on weekend!! i'm happy to stay here again again "
130,the rooms are very spacious and well maintained. the hotel restaurant is very good and serves Indian and continental food. a good place for business meeting and conferences.
131,"the conference hall was huge and the staff was cooperative. they did make all arrangements as per our requirements. the food is ok, not great. Overall good for business travellers and tourists travelling alone or couples. May not be attractive or value for money for families."
132,"the reception staff at check-in was probably a trainee from one of the hotel management institutes - had absolutely no clue about my reservation. the room was spacious, and relatively clean, with the TV being an old piece of junk that made strange crackling and hissing noises. luckily, I had no opportunity to sample the food, except for breakfast on the first morning."
133,the staff stood me out while they went to the room and checked the minibar status how much to charge me while I was in a hurry to get to airport.
134,i stayed in qutab hotel in march for a day. it's purely not business class hotel.building is old and very average in terms of rooms and services.cleanlyness is ok but not very good.moreover the surroundings makes it worse.there is an garbage dump near by.no gud market near par.bad locality.i would merely not recommend it.
135,"this is not a 5 star hotel by any standard. there are true luxury hotels in Delhi. the hotel is in the middle of nowhere surrounded by nothing. it's old and tired, and so are the rooms."
136,this hotel claims to provide a 5 star service and facilities but falls very far short in terms of delivery. staffing attitude - patina of obsequiousness displayed by staff was not matched by the concept of service provision to the customer 'obstructive and just plain unintelligent'
137,"rooms are spacious, some with great flatscreen tv, others with standard equipment. good beds, minibar, in room safe, okay bathroom (not much water pressure in shower). swimming pool looked good (but too cold to try, outdoor)"
138,"we stayed here for one night at the start of our tour &amp; for 2 nights. the rooms were very clean, modern, quiet and comfortable."
139,"stayed at the Qutab twice for a total of six nights in June 2007. internet worked fine, and 2.5 Euros per hour is not an unusual charge. you don't want to walk around in the neighborhood, except maybe into the park just next to the hotel."
140,"the hotel was rated and regarded as one of Delhi's Delux hotels. it is not located in the downtown core of the city, but set admist absolute squalor. the property caters to mostly Indian business people and is definately not for a tourist visiting Delhi. not recommended."
141,"hotel staff in Delhi will tell you what you want to hear about their star rating. I paid $140 per night for my stay, but demand is greater than supply for hotels, so they charge you whatever they can think of. if there are no rooms available, they are not going to bother to let you know in advance."
142,we stayed at the Quatab for 14 days last year and the service was exeptional. we are trying to book again for 2006 and are looking for a new book for 2006.
143,"my family and I stayed at the Qutab on 2 separate occasions in january 2005. on leaving we did not have time to go to the post office and post our holiday postcards - about 20 of them. So we left the money for postage with staff in the reception and someone promised to post the cards.Now, 3 months later, nobody has received a postcard."
144,Conclave Comfort is one of the 3 hotels by the same group in the surrounding locality. ideally situated specially for people travelling towards Okhala.
145,"the phone on the floor rings very loudly every time the hotel gets a call - annoying, it's impossible to sleep. the room is smelly, warm water tap doesn't work and is very dirty. breakfast room in Delhi is ridiculous, dishes not clean and so on!"
146,"we were booked to stay a couple of nights and we only stayed one. the heater was on but it got lost in translation along the way from heater to shower head. we are told an engineer is on his way up and assures us there will be hot water. at this point, we have now lost about 2 hours or more from our day."
147,corus is supposed to provide a 3 star experience to. the frugal sorts whose budget is below 4K this seems to be the best place available. if you increase your budget to 5K you choices are limited. staff is extremely courteous/professional and helpful.3. Cafe coffee day at the entrance and the general location is excellent as far as connectivity is concerned.
148,"I stayed in the hotel for two nights &amp; enjoyed my stay. The hotel is very centrally located, and the room had a wonderful view. I could see entire Connaught Place."
149,"corus was the most expensive hotel we stayed at in India. the location was great, right on the center ring of Connaught Place in between Old and New Delhi. there's a great coffee shop in the front (with REAL coffee, hard to find in india)."
150,"we had three rooms for our group, two of which were dumps. one room on the top floor at the front of the building had access to a superb terrace with stunning view of Connaught Place. others have complained about all kinds of aspects, and they're true. it's kinda dirty, the breakfast was terrible and the rooms are horrid without the terrace."
151,"stayed with family for three nights at the beginning of a 3 week holiday. the tiny rooms could have been cleaner, dirty windows gave us our first look outside. staff was friendly and helpful. fortunately most of the other hotels were of higher quality than the Corus."
152,"&quot;hotel's location was one of the worst I have ever stayed in. very noisy, rooms offexternal corridor backing onto dirty back streets.very basic amenities,worn sheets, bug-tablets, no hot water.No lift, had to lug bags upstairs."
153,"myself and 3 colleagues stayed at the Corus in the end of November for a week. the hotel was booked by our Indian colleagues and it was reasonable - and much better than I had anticipated. main problems were:- No hot water for showers- My room was the only room with window- the shower flooded the bathroom when you used it- at night it wasn't noisy outside and my colleague had boiler above his room which made noise constantly- The room serivce was terrible, microwaved, luke warm"
154,we arrived to our room around 11 pm and requested an 8 am wake-up call. either they misunderstood us or we were woken at 3 am. we got dressed and then looked at our watch so we ended up drinking tea in the room until breakfast. breakfast was outside in a patio area and was done very nice. they didn't put out an abundance of food so the hotel must have not been full but it was tasty.
155,"the first room we were shown had no windows but they moved us to one at the back with a window off an external corridor. there were bugs that came up through the shower drain, but perhaps this is just an feature of New Delhi - the reception staff seemed either exceptionally helpful or surly, no in between."
156,a friend booked this hotel on tripadvisor and checked out the hotel. the pictures made it look much more promising than it really was.
157,"there is the door bell man INSIDE THE ROOM STEALING FROM THE BAGS. the manager from the hotel asked me not to call the police, and try to 'digest it'"
158,the best part of the hotel is its location - the inner circle of Connaught Pl. you are right in the heart of Delhi and next to the subway/metro.
159,"first time we stayed we had a standard room, which could also be called world's smallest room. the bathroom, barely room to turn around, was fairly clean but we didn't sleep well at all as we were right by the stairs so it was really noisy. i found the smell really overpowering. they have little white balls in the sink (accord to my husband you get these in urinals)"
160,"hotels in new Delhi are notoriously overpriced, and after four nights we stumbled across the Corus Hotel in Connaught Place. we immediately booked a room for our return five weeks later. the price was Rs 5000...about US$135. The final graceful touch was after allowing us the free use of an available room in which to rest before our late night departure to the airport."
161,the hotel's location is very good - right in Connaught Place. the staff was friendly though the front desk was understaffed.
