,summarization
19,We booked this hotel as it was near the airport and was supposedly a very high standard. They then charged the full amount of our stay on our credit card - very suspicious. There was no hot water in the room - asked at reception - told to wait a bit an it would be fixed. It then took me 30 minutes of very vocal complaining in reception to get my money back.
20,"The pool was nice and the grounds were really well kept. Due to the location the hotel is the main option for food, unless you get a taxi. The food here was good."
21,Hotel was convenient for the airport but a long taxi ride from downtown Dehli. The rooms were clean and comfortable although some of our group reported that their room smelt musty. The buffet breakfast had a mix of Western and Indian food and was satisfactory.
22,"The Ashok is at the beginning and end of the Kuoni &quot;Taj Tour. It was convenient for the airport but a longish taxi ride from downtown Dehli. The rooms were pleasantly decorated, clean and comfortable."
23,Not bad as a transit hotel for 1 night but wouldn't stay any longer than that. Decent size though aircon pretty forlorn and controls didn't seem to work. Free safety deposit box on reception.
24,"This is the worst hotel I have ever stayed at. The bathroom had a strong smell of urine, the room smelled of mold and the air conditioner made the smell even worse. The mattress was about 2&quot; thick. I have had more comfort camping in a sleeping bag."
25,The positives were the food in the restaurant (quite good) and the pretty grounds. The negatives were the room and the dust inside. The public computer in the foyer was filthy with grime and dust.
26,This was the nicest of the 4 hotels we stayed in on our tour of India. It had a lovely pool area and a nice restaurant. Owner of the hotel was in attendance and keen to speak to all the guests.
27,"Hotel is a very nice hotel the rooms are clean and large it was cold so the staff put heaters in the rooms, the bathroom was a little old but clean all the same. The only problem was that they only put the hot water on at certain times of the day so its either cold or tepid showers overall a nice place."
28,"Stayed here on our first night in India on Voyages Jules Verne Golden Triangle tour. Hotel chosen, I suspect, because of its proximity to the airport. Breakfast had an interesting variety of foods."
29,"I stayed there because It was near the aiport where I arrived at midnight and had a flight leaving next day at eight. My flight was delayed, ended up staying for 3 hours. Its located near the highway and even in the middle of the night the noice was dusturbing."
30,"We had a very brief stay at the hotel, but it was fine. The long problem we had was the car they sent to the airport to pick us up was designed for two people and little luggage. There were four of us and a lot of luggage!"
31,The Ashok Country Resort in Inida was by far the worst place we stayed in. The service from the reception was nothing short of rude. The prices for drinks and food within the hotel were 5 star hotel prices.
32,"We used the Ashok for a first night in India and were very satisfied. The pickup from the airport worked well and the hotel was comfortable and clean. It is not a 5*, but then you are not paying 5* prices."
33,"3 am is not a good time to arrive anywhere, for sure not India. The rooms are big, clean and fairly comfortable. Feeding arrangements are good, but beware hordes of French groups on tour."
34,"Privately owned and operated, this full service hotel is located between city and airport. Owner's son sits on a desk in the lobby and is very accommodating, as is the staff. Two European tour groups partied boisterously in two rooms with doors open near us until way past midnight."
35,"Hotel is in a quiet location near the airport,rooms are big and comfortable,staff are polite and nvery helpful. Swimming pool is clean and big in size,gardens are well kept."
36,"We stayed here two nights in late March 2007. Breakfast buffet was good, and lunch was excellent in the resort’s restaurant. The well-maintained grounds, with lots of flowers, a pool, and benches, gave us the breathing space we needed."
37,Stunning gardens with a clean pool &amp; loud peacock. I found the Reception staff to be aloof and not very welcoming esp. on the first night of our tour.
38,"Stayed here on 1st and 7th day of the Kuoni Taj Tour. It's mainly clean, everything worked in the bedroom, although we had a very noisy fridge !! The bar area is very small and there is not much of a sitting area."
39,"When we arrived in Dehli we went straight to the hotel. The room was cold and the bed damp, we had to request an additional heater in our room. Breakfast the following morning was okay. This is an average tourist hotel."
40,"The rooms were clean and quiet, bathroom clean and adequate. Good varied buffet breakfast. Lovely gardens, and the pool looked nice, though it was too cool to try it in December."
41,"The rooms are nice, the bathroom a little old. The restaurant indeed advised to take the buffet at 563 rupees each. We didn't have breakfast, as our planes left very early."
42,The Ashok Country Resort is located in the Golden Triangle. The hotel is very isolated and there is absolutely NOTHING in the vicinity. The only good thing about it is the proximity to the airport.
43,"This was the most disappointing hotel we stayed in in India. The room was not cleaned properly, smelt a bit damp and there was no hairdryer in the room. Only redeeming features were friendly staff and nice grounds."
44,"Room was lovely, with a large screen plasma! Very clean. Far too expensive for what it was (I paid £76) The grounds are very nice but the buffet restuarant is terrible."
45,The rooms are modern and beautifully decorated. The pool is large and refreshing in the midst of hot Dehli. There is a nice lounge area open 24 hours if you need some masala chai or a beer late at night. The proximity to the airport makes it an easy place to stay.
46,"The hotel is comfortable near the both airports, nice when you arrive in the middle of the night and need sleep. The first time the breakfast was very poor, because there were hardly any guests. Uncomfortable is, that the bedding is humid."
47,"Stayed here for one night only as it's convenient fot the airport and we were flying home next day. No complaints - helpful staff, comfortable room and good food."
48,Fairly decent 3 star airport hotel. Seemed filled with tour groups. Rooms were good sized but had a distinctly mildew smell you noticed the second inside the door.
49,"Stayed here twice for one night in different rooms during a tour with Kuoni. Overall the hotel is quite acceptable for a short stay, and it's only approx 20 minutes from the airport. The rooms were fairly well appointed for a 'medium' class hotel."
50,I selected this hotel because it was close to the airport and also price point is good. There is no in room internet access. The gym is ok but opens late at 8am only. Not a suitable hotel for long business trips.
51,"I stayed for one day, and was thoroughly disappointed with what I got. The food in the restaurant was tasteless, the refrigerator in the room not working. The surcharge on long distance calls as charged by them could not be justified on any account."
52,"The restaurant was very poor, the carpets were stained, the rooms smelt, the sink was broken, bathroom dirty, the price was expensive compared with other hotels. For a Gov. run hotel, it needs to get its act together."
53,"I was put up here by a Government of India agency I was visiting. The hotel is owned by GOI, and so they get preferential rates. Service was professional but not obsequious, not overly solicitous."
54,"Old glory has gone and it will take a multimillion investment to ever get this back. The state of the hotel is miserable, the only thing that has been restored is the entrance lobby. Free wireless internet was available and it worked well, but every 24 hours you had to return to the reception desk to get a new voucher."
55,"The hotel and particularly the rooms are dirty. The space of the rooms is fine, the furnitures really old (but OK) but you can see everywhere that there is no proper cleaning. In no case this is a 5 stars hotel, but it is not terrible."
56,"The location is quite good almost midway between the city center and the airport. The staff was courteous but a bit lazy, rooms were good but seemed a bit old as far as the upholstery is concerned. The food was average and we preferred eating outside in the private restaurants."
57,"Price is normally around 8k INR which makes it one of the cheapest, if not the cheapest in Delhi. Staff are servile and still retain the sycophantic outlook always on the lookout for tips."
58,"Jet Airways Provided us one night stay at this hotel. As Jet Airways staff didn't board our baggage at origination Point. So,this stay was given by Airlines. But we didn't find this hotel equal to 5 star hotel standards."
59,"As an invited participant of an' International Stakeholders' consultation, I was accommodated in 'The Ashok',Chanakyapuri,New Delhi. An aristocratic name in the diplomatic enclave of the capital city raised our expectations to perhaps somewhat unreasonable limits. There were major problems with the attitude and approach of the staff."
60,The ashoka hotel is one of the grandest hotels in India built by the govrnment. The hotel has exceptional facilties - the gym and swimming pool is very good. The price is very high though for the qulity of service and good.
61,This is a very lousy place with nothing great about it and comes with a very high tariff rates. Everything is very costly and rooms are not well maintained. The only exception is the Restaurant Frontier which serves good food.
62,"I stayed at the Ashok this past week and was quite relieved that it was not as horrible as the other reviews indicate. My room did not seem dirty, and housekeeping came daily - i left a tip each day, so maybe that helped. Housekeeping are big tip seekers....despite leaving a tip when i left in the morning, they would ring my doorbell at 8-9 at night to &quot;see if i needed anything. They hang out in the hallway and pounce when you come back to inform you that they changed the fruit in your room or whatever,. looking for a tip. Also i was supposed to have free breakfast in the coffee shop included in my room tarrif. Most days i didn't bother."
63,"Shabby, smelly , tired, and that was just the staff. Poorly trained they did not have a clue. The fixtures and fittings were poor, the views awful and generally just disappointing. Our 3 1/2 night stay cost £700 - do not stay here."
64,"Was my 4th stay at the hotel since 2000 and sorry to state that it's not getting better. Staying there as it's the place of the conference I am attending so it's just to avoid taking taxis on several occasions per day. Had booked and confirmed room with balcony though received room without. When referring back to the reception's staff, was informed, that the rate is the same."
65,"I and my wife were travelling to Delhi for romantic getaway. We wanted to spend time in some good hotel so we could remember the stay as well as the places of stay. We had heard a lot about Hotel Ashok, how magnificient it is and how marvelous the view from the hotel top looks. When we visited the hotel, we were impressed by how huge it looks from outside and how well it was maintained."
66,"The Ashok is a government owned hotel and hence does not have the massive private investment of the other in the diplomatic enclave. The food in the 'Coffee Shop' is good enough, nothing special and the Paprika Chicken is awful. Stay away from most of the food, check out the 'Fusion' bar, the staff are great and really freindly."
67,"My husband and I went there for a medical convention. The next morning we went to the convention and came to the hotel room late...Surprise! room was smelled up with tobacco! i was angry but my husband told me to keep my cool. the next day, we let the cleaning man tidy up our room, my husband was in the shower and me reading."
68,This place is awful. Our hallway smelled very bad (especially in the mornings). Most of the smell remained in the hall and did not come into our room. Our friends from Kenya were met with unacceptable racism from the hotel's club. Stay somewhere else!
69,"In the 6 weeks and 15 cities I've been to in India, this was the worst of the worst. The staff was the rudest I've encountered anywhere. The room was dirty, the location was far from anything, and it was of course overpriced. I highly recommend against staying here."
70,The windows didn't fit properly so you had the noise and the smell of the traffic. We slept on top of the covers because of the state of the bed linen and would not walk on the carpets in bare feet. As for the bathroom - we washed in the sink rather than use the shower/bath.
71,"The Ashoka Hotel is one of the most reasonably priced 5-star accommodation available as it is still government owned. Though many years old, the hotel has good rooms that are well appointed and reasonably big."
72,"I found that my hair dryer would not work, nor my television, not the desk light nor the floor light, and some of the electrical sockets. The food (which tasted quite good, or at least the indian style food) was very expensive - more than the price for a similar meal back in the U.S. Service was terrible - we waited 15/20 mins for some water to be brought to us. The use of wireless access cost $25 a day. The cost per night for this hotel is outrageous for a Delhi hotel - $250 a day - best go elsewhere."
73,"Our room hadn't been vacuumed in ages, there was hair everywhere and orange pits on the bathroom floor. The elevators shorted out on us a couple of times, and our electronic door-key receiver thing took three or four tries to unlock. The lobby is full of carpet and trinket shops."
74,"Hayes &amp; Jarvis &quot;upgraded to the Ashok from the Oberoi Maidens for the first 3 nights of our India tour. We read the reviews and hoped it would not be as bad as reported, but unfortunately it was. Our rooms were dirty, especially the bathrooms which looked as thougth they had not been cleaned properly for years. The restaurant was OK but a long walk along a miserable corridor from the main part of the hotel."
75,"The Ashok is a tired property with ordinary to below average service. The room is clean, the bed comfortable and the water hot but for USD400 you want a little bang for your buck. The fridge was faulty. TV reception unwatchable despite three visits by repairman."
76,"The lowest point was when the waiter in the lobby lounge wiped the tea cups with his finger. The same waiter also had poured us two cups of tea, then whisked the teapot away to finish the rest of the tea with his colleague. Do not stay there!"
77,I booked for a Superior Room but was given a Standard Room instead. The bathroom has no bathtub so the floor is wet after shower. There is not enough space to place toiletries too.
78,The hotel has a an awesome architecture and presents the atmosphere of the historical New Delhi. The service is friendly and the restaurants are of good quality. The fitness and SPA area is really first class: Latest equipment and qualified trainers. The cleanliness and hygiene however was beyond any acceptable standard.
79,"The Ashok Hotel is an old hotel, but that adds to the charm. The food and drink at the restaurants were great and the pool and spa were beautiful. It was expensive, but a weekend in Delhi to see the Taj Mahal was worth it."
80,"We had a terrible shock at the Ashoka Hotel! When we actually arrived in our room we found that there was a complimentary fruit basket which was mouldy and as old as or maybe older than the hotel. There were fake bottles of water...that were supposed to be mineral water but had been filled up with local tap water. As for the plumbing, the toilets were over flooding and lets just say what went down came straight back up! ....Now for the service...the porters were constantly knocking at the door...waiting for tips and asking silly questions. They also refused to take credit card payments and would only accept cash! The only thing they would keep saying to us is &quot;ma'am!"
81,"Hotel Ashok, 50B Chanakyapuri, is a huge hotel with a number of restaurants and a shopping arcade. It is in New Delhi south of the government area, with no neighborhoodto walk to, and no nearby subway."
82,As a government owned hotel the service is about as bad as it gets. Was probably a great hotel 30 years ago but now rooms are shabby and run down. Do yourself a favour and stay away.
83,"The first night was terrible. The room was muggy, sheets were dirty and the bed was not even flat! The telephone looked like it hadn't been wiped down in 25 years, seriously no joke."
84,"An average 3 star hotel trying to be 5 star. Public areas are ok but the rooms are old, tired and dated. Service is patchy and the facilities are set in something of a time warp. Avoid unless you enjoy wasting money."
85,"This was the worst supposedly 5* hotel we have ever stayed in. The staff were extremely rude, food was awful and the rooms were old and grubby. I would recommend that no one should even consider this hotel."
86,"The hotel is ok if you pay not more than 80 EUR a night for a room. Staff were quite friendly, room service quick, and they have a nice outside pool and spa. But like I said, everything there is just 'alright', which is not good enough for ca. 250 EUR."
87,Hotel Rooms were stinky. It was worst hotel I ever stayed in. I paid 180 $ (INR 8000) for 1 Night. Hotel reception was ok but Rooms are dead.
88,The Ashok is a 5 star deluxe hotel that was built 50 years ago. The lobby is clean but the rooms look dated. Cockroaches were everywhere (and in all 3 rooms that we had)
89,"The Ashok has some great restaurants, an excellent spa, and bags of potential. But the government has got to stop pretending this is a five-star hotel. It's an out-of-the-way, run-down, noisy, unappealing, overpriced wreck of a place."
90,"The Ashok could be a splendid example of traditional Indian grandeur. Sadly, it is not. I checked in late at around 11pm and was greeted by surly receptionists. It took three phone calls and a visit by housekeeping to convince them that I didn't want the room."
91,The rooms are old and run down. There is a stink in the hallway and staff are generally not very helpful. The only good things are the staff in the restaurant and the breakfast buffet. It cost us $220 a night which is a complete rip off.
92,"The Ashok is a tired, grimy, grubby hotel. The rooms are dirty and dated, the service is surly and unatentive. I couldn't beleive this hotel was given a 5-star rating."
93,"I originally was here in the early 80s when it was one of the best hotels in Delhi. With the exception of cable TV, I don't think the rooms have been updated since then. Between the lousy food, the crappy rooms and the creepy guys (security &amp; maids) in the hallways - this is one hotel to avoid."
94,"We where surprised arriving at 5* hotel, where we found grey towels and bed linen. All over the hotel were signs of government ownership - too much of staff, equipment out of order, etc. I expect for that price you can get much better deal."
95,I was staying at the Ashok hotel between the 11th and 16th of May 2006 for business reasons. While moving the hairdryer I received an electric shock. I would not recommend this hotel to anyone.
96,"The room was very large, the furniture was grubby and tatty. The bathroom smelled, the bath did not drain, the bidet did not work, the W.C. splashed your trousers when flushed. The mini bar was empty. The balcony was very dirty, paint peeling off wood work and no balcony furniture."
97,"Location: In Between Airport, Sites and Central City. Service: Above Average Price: High for location, but worth the rating. Room: Within the rating"
98,"Hotel Ashok is a big hotel in the diplomatic district of new delhi. It has many restaurants and shops and the lobby is Ok, But Ashok hotel was nothing near being five star. I would rather call it something in between one and two star hotel."
99,We stayed at the Ashok for one night in February as our Tour Company (Compass Tours) told us that the Park hotel was not available due to President Bush's visit to India. The management was neither friendly nor helpful. Try to avoid staying here at all cost.
100,"The hotel overall is quite dated but in Delhi is probably quite modern. The restaurants are ok, but I would recommend eating out. There is a health club which is actually not owned by the hotel, it has very good facilities but if you want to use the gym only, they make you use the basic outdoor changing rooms."
101,What a dump. Stay at hotels such as Oberoi which are in a similar price range but deliver first-class amenities and services on all fronts.
102,"Front desk is to small and unorganized to handle more then three guests at a time. Carpeting in hallways is threadbare and dirty. International plug did not work, no internet cable as purported, and remote was non functional."
103,The hotel is in a good location but needs a good clean up. The restaurants had a good service except the chinese restaurant which they warm the food for 2nd time before the serve it. The people in the parking area have to stop shouting through loudspeakers in the middle of the night.
104,The corridors were dark and I came across some dubious looking people during my one day stay there. The bathroom was of 1940's vintage and the toiletry was very cheap. Room service took forever. The thing that rankled me the most was the could not care less attitude of the staff.
105,External appearance is great. The employees dress like professionals. But it is only in their dress and salutations! All employees accept great tips. But service is really poor.
106,The Atrium was definetly an upgrade...but it felt empty. Room was clean but there was a door joining our room with another and we could hear the people next door clearly. The walls are paper thin.
107,"Hotel is 25k from Delhi in another town altogether, Faridabad, an unattractive industrial area. Room was the worst we stayed in throughout our two week stay in India."
108,"I was given a room with a tiny window in a corner, facing out onto an active construction site that was active almost around the clock. Besides the noise, construction workers could look right into the room as soon as a the curtains were open which left me without natural light most of the time. The shower didn't work, and it took them ages to fix, the toilet seat was broken, there was hair on the bedsheets, the carpets in the room were filthy."
109,"The service from check-in to check-out was excellent. All staff were helpful and friendly. Power can be erratic at times, but this is to be expected in Delhi."
110,Fantastically designed hotel with great rooms and good food. Gym and pool is always a nice addition which the avalon certainly does not lack. Only quarm i can think of and that was the shower door not fitting properly leading to a large puddle of water on the bathroom floor. Apart from that... Amazing.
111,"The approach road to Avalon appears unfriendly and dilapidated. The courtyard boasts of a heated indoor pool, but the heating system wasn't functioning during our stay. Breakfast spread is ok."
112,"The Avalon was a pleasure to walk into - bright and spacious reception with modern decor. Lovely double room - almost a suite, very well equipped with TV, sofa, comfy bed with clean and fresh bedding. Staff were friendly and attentive when required.Downside is the location....we booked this through an agent and so did not realise the location otherwise would not have stayed here."
113,The hotel is located in the dry district of Dehli. It is far from the sights and city center so be prepared to pay around 700Rs for 40m or 4 hours and then fees above if doing any sightseeing.
114,"I stayed in one of the Residence suits which was lovely - spacious, well equipped with kitchen, large bathroom, sofa, TV and very comfortable bed. Staff were delightful, really friendly and helpful."
115,This hotel is far from center about 30 mins but it's about 20 mins to airport and about 15 mins to big shopping mall which i am happy over there. shower always leaking out from the shower door and i rang the staff since teh first day but never come to fix it. the room service food is nice there but the breakfast is quite abit limit in choices. the internet is expensive also. it's RS 250 per hour.
116,Restaurant was nice with very pleasant staff. Food was fine if somewhat limited in choice. Swimming Pool (Indoor) was unfortunately so cold we were not brave enough to use it.
117,"This is a very nice, clean well serviced hotel. The gym is great, on staff massages available. The food is fine--and they staff will attempt to make anything for you. the internet is really good, although expensive."
118,"We arrived at the Avalon Courtyard after flying in from Australia. The restaurant served excellent food, only one drawback.....it is a dry hotel, no bar, no liquor served at all and it is in the midle of nowhere."
119,"Very clean, modern and reasonably quiet. Breakfast was served early for us as we were on an early train to Agra. We stayed in a luxury hotel in Agra, which is on the banks of the River Ganges."
120,The Avalon Courtyard is ultra modern and totally lacking in any of the character and charm we experienced during our stays at all the other wonderful heritage hotels and palaces throughout our trip. To say my girlfriend hated it would not be an over statement.
121,"New property that had just opened this month. Rooms are spacious and well suited for a medium term stay. Drawbacks were a challenging location, nothing close by within walking distance so taxis required."
122,"Stayed at this hotel while on holiday in Delhi. Female traveller alone. Rooms are spacious, modern. Service was prompt and the food was good.Pool area is a bit run down and not very well attended."
123,"The Claremont hotel is near the Delhi airport. The hotel allowed for us to have 3 adults and 2 children in one room. The safe in our room was not functioning, so we made certain not leave anything of value in the room."
124,Although it was my cousin marriage arrangement on 09-May-09; Really good stay and dining arrangement with family for couple of days. Hall &amp; Poolside Lawn are perfectly maintain for private function.
125,Hotel is made with class &amp; surrounded with greenary area. Staff was Courteous and well groomed. I really recommend this Hotel.
126,Room are quite spacetous; Coffee Shop Blue Pearl ambience is impressive. Food is wow.. specialy indian &amp; pasta's ; open pool with huge lawn for exercise or move around.
127,"Not a bad hotel. Cox and Kings travel agency used it as an &quot;airport hotel&quot;"" although it's a 25 minute drive from the airport. The rooms are clean and decent, but the &quotshot&quots water was only lukewarm when I took a shower at 3:00am."
128,"On our first day we were welcomed into a severelysmoked out room (we had requested a non-smoking room). We were told we would be transferred. After around fifteen minutes,we contacted the front desk and were told &quot;All rooms sold out!!! We then had to use the lobby facilities all evening."
129,"As we have taken this holiday on weekend &amp; its pakage was great as the hotel was, we were on triple occupancy. Food is equaly good but expensive enough............&amp; as the the hotel clams to be 4star, its fair enough to be.........."
130,A very comfortable and clean hotel in Delhi. The rooms are very spacious and very well maintained. The hotel restaurant is very good and serves Indian and continental food.
131,The conference hall was huge and the staff were cooperative. Overall good for business travellers and tourists travelling alone or couples. May not be attractive or value for money for families.
132,"An over-priced, worthless two night stay. The room was spacious, and relatively clean. The TV was an old piece of junk that made strange crackling and hissing noises. The bathroom looked as if it had not been cleaned since 1982."
133,So clean a hotel. Unbelievable breakfast buffet bar. Clean rooms. On a less crowded road. Entry &amp; Exit very good. Parking OK.
134,i stayed in qutab hotel in march for a day.its purely not a business class hotel.building is old and very average in terms of rooms and services.cleanlyness is ok but not very good.there is a garbage dump near by.
135,"Hotel is in the middle of nowhere surrounded by nothing. Building is old and tired, and so are the rooms. Staff is friendly and professional, but sometimes a bit clumsy. unreliable internet access."
136,"For one night we were without running water (or in lavatory), and often the water ran brown. The quality and upkeep of the food is questionable. At breakfast the sliced tomato/cucumber was dried up and almost curling. poor range of food available for breakfast."
137,"The Qutab is a nice modern 7 storey building. Nice marble entrance, helpful and very friendly staff. Rooms are spacious, some with great flatscreen tv, others with standard equipment. Good beds, minibar, in room safe, okay bathroom (not much water pressure in shower). Cosy bar/breakfast restaurant."
138,"We stayed here for one night at the start of our tour and for 2 nights at the end. The rooms were very clean, modern, quiet &amp; comfortable. The buffet breakfast was excellent."
139,"I stayed at the Qutab twice for a total of six nights in June 2007. Internet worked fine, and 2.5 Euros per hour is not an unusual charge. Food is not bad, and there is an additional, very stylish Indian restaurant in the compound."
140,"Hotel Qutab was a severe disappointment, being nothing better than a standard Holiday inn but at exhorbitant prices. The drawback to this property is that it is not located in the downtown core of Delhi. This property caters to mostly Indian business people and is definately not for a tourist visiting Delhi."
141,"Hotel Qutab is rated a 3-star for class/amenities and a 4-star rating for service. Hotel ratings are too inconsistent in Delhi, and most likely hotel staff in Delhi will tell you what you want to hear."
142,We stayed at the Quatab for 14 days last year and the service especially from the restaurant staff was exeptional. We are trying to book again for 2006.
143,"My family and I stayed at the Qutab on 2 separate occasions in january 2005. On leaving we did not have time to go to the post office and post our holiday postcards - about 20 of them. We left the money for postage with staff in the reception and someone promised to post the cards. 3 months later, nobody has received a postcard."
144,Conclave Comfort is one of the 3 hotels by the same group in the surrounding locality. Ideally situated specially for people travelling towards Okhala.
145,"It is totaly overpriced and pure nightmare. Staff sleeping on the floor and cleaning means spraying insecticides. Warm water tap doesn't work. Lot of parts have never been cleaned. Breakfast room is ridiculous, dishes not clean."
146,"Hotel Conclave Comfort was booked to stay a couple of nights and we only stayed one. The room was rather cramped, pretty dark and the mattress felt like it must have seen one too many guests - definitely in need of replacement. The only bright spot was the internet connection which was very good and although the room service was quite quick and the food reasonably tasty, it was without a doubt way over-priced."
147,Corus is supposed to provide a 3 star experience to a business traveler with limited budget and location (CP) in mind. For the frugal sorts whose budget is below 4K this seems to be the best place available.
148,I stayed in the hotel for two nights and enjoyed my stay. The hotel is very centrally located. I could see entire Connaught Place. alongwith the &quot;Central Park. The Restaurant very well done up.
149,"Corus was the most expensive hotel we stayed at in India and it certainly was not the best. The location was great, right on the center ring of Connaught Place in between Old and New Delhi. The rooms are on the small side but aren't bad."
150,"We had three rooms for our group, two of which were dumps. No windows and no life. One room on the top floor at the front of the building had access to a superb terrace with a gorgeous view of the Connaught Place."
151,"Stayed with family for three nights at the beginning of a 3 week holiday. Dirty, cracked windows gave us our first look outside. Staff was friendly and helpful - a positive!"
152,"Barely better than a backpackers hostel, this hotel was one of the worst I have ever stayed in. Very noisy, rooms offexternal corridor backing onto dirty back streets. No lift, had to lug bags upstairs.Breakfast minimal on patio next to streets."
153,"The Corus was booked by our Indian colleagues and after reading the reviews on here I was a little concerned. However, although there were problems the hotel was reasonable - and much better than I had anticipated. Overall this hotel is fine if you are looking for somewhere just as a base, but I know it is fairly expensive and you could probably get something better for your money."
154,This is a no frill hotel but was clean and adequate for one night. Breakfast was outside in a patio area and was done very nice. There is no elevator in the hotel.
155,"Hotel was reasonable, rooms very small but clean, excellent location right on the inner circle of Connaught Place. Reception staff seemed either exceptionally helpful or surly, no in between."
156,"A friend booked this hotel through a travel agent and when I checked out the hotel on TripAdvisor, the pictures made it look much more promising than it really was. Walking in, I was taken aback by the trash on the stairs. The rooms weren't any better. A green chair had deep undertones of brown because it was so dirty."
157,Horrible experience. The door bell man was caught in the act and I was shocked. The manager from the hotel asked me not to call the police. Do I need to say anything else?
158,"The rooms are small and some bathrooms are better than others. The rate includes breakfast which is just OK, but better than nothing. There is a fairly good japanese restaurant on the first floor of the hotel, with a garden."
159,"This hotel has a great location on connaught circle and the funky asian fusion restaurant with nice garden downstairs. The rooms however are not great. First time we stayed we had a standard room, which could also be called world's smallest room, and the bathroom, barely room to turn around."
160,"The Corus Hotel is located in Connaught Place, New Delhi. Price was Rs 5000...about US$135. Friendly, uniformed staff with excellent English skills and eager to help."
161,The Corus Hotel's location is very good - right in Connaught Place. Our room was small with a lot of ambient noise. The staff was friendly though the front desk was understaffed.
162,"The hotel is located inside the Bonsai restaurant. The reception area is small like a corridor, but adequate, nothing grand. We stayed at the hotel on two occasions over three weeks as the hotel was booked by the tour guide."
163,"I stayed in this hotel on October 2007 for 4 nights. If you spend most of your time in the hotel to meet some friends or colleagues, I don't recommend it. There is hot water but you need to wait for few minutes to get it as they most probably use solar panels during the day and central heating system at nights."
164,I picked the Corus after reading the latest review in Lonely Planet. Don't make the same mistake. This hotel was totally over-priced for the quality of the experience. For this price you can find a much better place in Delhi.
165,Hotel has a very good location. Reception area is nice. Room was in the main block and had no windows. Air con &amp; fan worked really well.
166,"The hotel is ok, the bed is clean but the bathroom is awful! no hot water! no comfort at all and found many big insects at the shower. The breakfast buffet is good, and the restaurant staff very kind. However the front desk staff was almost rude and unprofessional."
167,"great place, good service, excellent oriental cusine at the restaurant called Bonsai. overall a very comfortable stay. keep it up !"
168,"Price: Excellent $90Location: Excellent - CentralService: Hospitality Redefined - Pleasantly Surprised - New Hotel, Great ServiceRooms: Small - But Reasonable - Neat, Clean and comfortable."
169,"We stayed here for 3 nights after arriving in India for a 3 week tour. Room was large but with grubby sheets,tepid water and the special bonus of blood stained towels."
170,"Dirty, old sheets (one covered in blood, which was not removed after 3 requests), cold showers (was told to run the water for upwards of 5 mins - but even longer running time led to no more than strictly lukewarm), no restaurant / eating room. No toilet paper, only Pepsi in the room bar, no offstreet parking, no formal hotel entrance, but instead a flight of steps up from street level, a street covered in dust."
